oid,label
ZTF17aaaafkl,0
ZTF17aabicpx,1
ZTF17aacqiat,1
ZTF17aacricm,1
ZTF17aaaahmv,0
ZTF17aaaaebw,0
ZTF18aaoszdi,1
ZTF18aazchfq,1
ZTF17aaaaihh,0
ZTF17aaaaguj,0
ZTF17aaaaibs,0
ZTF17aaaaabb,0
ZTF17aacrjft,1
ZTF17aaaslyg,1
ZTF17aabiegt,1
ZTF17aaaajcb,0
ZTF18aaqmnex,1
ZTF18abaeezy,1
ZTF17aacrxyi,1
ZTF17aabisif,1
ZTF17aaaaiwk,0
ZTF17aaaadkj,0
ZTF18aagteri,1
ZTF18aaydhrk,1
ZTF17aaaaauh,0
ZTF17aabpolf,1
ZTF17aabunxe,1
ZTF17aaaagzg,0
ZTF17aaaadje,0
ZTF18aazfidd,1
ZTF17aaaahgt,0
ZTF18aaxtibc,1
ZTF17aaaaakx,0
ZTF17aaaafyu,0
ZTF17aacqrkt,1
ZTF17aacmjem,1
ZTF18aaxuide,1
ZTF18aarwuxx,1
ZTF17aaaabds,0
ZTF18aazzxon,1
ZTF17aaaadwi,0
ZTF17aaaaalx,0
ZTF17aaavrwg,1
ZTF18aasqljh,1
ZTF17aaaahtj,0
ZTF18aaiualk,1
ZTF17aaaakaw,0
ZTF17aaaafeu,0
ZTF17aaaaaww,0
ZTF17aaaaakh,0
ZTF17aaaaayg,0
ZTF17aacrkog,1
ZTF18abaeaqi,1
ZTF17aacrafk,1
ZTF17aaaajzm,0
ZTF18aawibig,1
ZTF17aaazkut,1
ZTF17aaaakax,0
ZTF18aavsoed,1
ZTF18aaxmngb,1
ZTF17aaaaiie,0
ZTF17aacloxt,1
ZTF17aaaaazc,0
ZTF17aacqikz,1
ZTF17aaaabff,0
ZTF17aacrihq,1
ZTF17aaaahcq,0
ZTF18aakydcy,1
ZTF17aaaabef,0
ZTF17aaaagfo,0
ZTF18aahbqti,1
ZTF17aaaaagn,0
ZTF17aacacuo,1
ZTF17aabnzfc,1
ZTF17aabusmz,1
ZTF17aacrkhm,1
ZTF17aaaaiuk,0
ZTF18aamyacn,1
ZTF18aahvndq,1
ZTF17aaaaalc,0
ZTF17aaaafcf,0
ZTF17aaaaiip,0
ZTF17aaaysxc,1
ZTF17aaaajgd,0
ZTF17aaaprkz,1
ZTF17aacrawv,1
ZTF17aaaabmc,0
ZTF17aaaagew,0
ZTF18aaxukiw,1
ZTF17aaaemtj,1
ZTF18aayhkdi,1
ZTF17aaazugv,1
ZTF17aaaaeti,0
ZTF17aaaaagg,0
ZTF17aaaafnc,0
ZTF17aaaaapq,0
ZTF17aaaajcj,0
ZTF17aaaajln,0
ZTF17aaaajfu,0
ZTF17aaaabrl,0
ZTF17aaaaapa,0
ZTF18aavxdrz,1
ZTF17aaaaavk,0
ZTF17aaaabmr,0
ZTF17aaaaaxh,0
ZTF17aaaaaum,0
ZTF17aacaijg,1
ZTF18aaxmxdl,1
ZTF18aamxtlp,1
ZTF17aaaahoe,0
ZTF17aaaahep,0
ZTF17aabjfaz,1
ZTF17aaaafai,0
ZTF17aaaahfj,0
ZTF17aaaajha,0
ZTF18aabwcvw,1
ZTF17aaaacji,0
ZTF18aamuyhf,1
ZTF18aaxagxj,1
ZTF18aarmnnd,1
ZTF17aaazjnz,1
ZTF18aaypylb,1
ZTF17aaaaaza,0
ZTF18aaweoqe,1
ZTF17aaaahdl,0
ZTF18aavuiho,1
ZTF18aarqnje,1
ZTF17aabndoo,1
ZTF17aaaafmb,0
ZTF17aaaagnb,0
ZTF17aaaagpz,0
ZTF18aajgwtf,1
ZTF17aaaainh,0
ZTF17aaazmsf,1
ZTF18aaceepu,1
ZTF17aaaxfre,1
ZTF18aaxnoeu,1
ZTF17aabhzgp,1
ZTF17aacqheh,1
ZTF17aaaagtq,0
ZTF17aaaaabx,0
ZTF17aacqgdb,1
ZTF18aazabwh,1
ZTF18aadwhqi,1
ZTF18aazibon,1
ZTF17aacrptv,1
ZTF18aahybee,1
ZTF18aatzrmg,1
ZTF17aaaaifw,0
ZTF17aaaahmm,0
ZTF17aaaagjc,0
ZTF18aazhqli,1
ZTF17aaaaatx,0
ZTF17aacrboh,1
ZTF18aaqpeoq,1
ZTF17aaaahvk,0
ZTF17aaaadou,0
ZTF17aaaafla,0
ZTF17aaaajue,0
ZTF17aaaabhx,0
ZTF18aazwdwn,1
ZTF17aaaafxg,0
ZTF18aaqcnfd,1
ZTF17aaaagot,0
ZTF17aaaafnw,0
ZTF18aavriir,1
ZTF17aaaafwp,0
ZTF17aaaaano,0
ZTF17aaaajlm,0
ZTF17aacqhac,1
ZTF17aaaablb,0
ZTF17aabibni,1
ZTF17aaaaipy,0
ZTF17aaaahqd,0
ZTF17aaaafbc,0
ZTF17aaaaged,0
ZTF17aaaahgz,0
ZTF17aaaafya,0
ZTF18aawfujr,1
ZTF17aaaaeee,0
ZTF17aacrjgd,1
ZTF17aaaahge,0
ZTF18aawfquu,1
ZTF17aacrsrv,1
ZTF17aaaxxgi,1
ZTF17aaaaipo,0
ZTF17aaaajty,0
ZTF17aaaajlc,0
ZTF17aaaaecv,0
ZTF17aaaahzz,0
ZTF17aaaaezq,0
ZTF17aaaadyi,0
ZTF17aacqqin,1
ZTF18aazzuip,1
ZTF17aaaajpn,0
ZTF17aaaagvt,0
ZTF17aaclejw,1
ZTF17aaaaalh,0
ZTF17aaaagzs,0
ZTF17aaaajqo,0
ZTF17aaaagpy,0
ZTF17aaaagyo,0
ZTF17aacrrdi,1
ZTF18aagterq,1
ZTF17aaaajqj,0
ZTF18aaznwht,1
ZTF17aaaahhv,0
ZTF17aaaaedn,0
ZTF17aaaahcf,0
ZTF18aazhjoa,1
ZTF17aaaaiqk,0
ZTF18abacvme,1
ZTF17aaaahdc,0
ZTF17aaazgua,1
ZTF17aaaadae,0
ZTF17aaaaipi,0
ZTF17aacqpjy,1
ZTF18aaxugta,1
ZTF17aaaajir,0
ZTF17aaaagou,0
ZTF17aaaxjon,1
ZTF17aacrjkd,1
ZTF17aaaaisf,0
ZTF17aaaajip,0
ZTF18aazcblk,1
ZTF17aaaadjh,0
ZTF17aacqqhx,1
ZTF18aazcljo,1
ZTF17aacmjyw,1
ZTF18aaygwqd,1
ZTF17aaaaibd,0
ZTF18abaaywc,1
ZTF17aaaaisl,0
ZTF17aaaaiov,0
ZTF17aaaagfh,0
ZTF18aawmxdx,1
ZTF17aaaaawg,0
ZTF17aaaaiao,0
ZTF17aaaajyv,0
ZTF18aanhtle,1
ZTF17aaaairm,0
ZTF17aabwcuw,1
ZTF18aastrds,1
ZTF17aaaahuy,0
ZTF17aacrbpx,1
ZTF17aaazwnh,1
ZTF18aaxqelb,1
ZTF17aacbixx,1
ZTF18ababxev,1
ZTF17aabxckd,1
ZTF17aaaaedy,0
ZTF18aawhnxm,1
ZTF17aaaadzz,0
ZTF17aaaaihx,0
ZTF17aaaajho,0
ZTF17aabdknp,1
ZTF17aaazcod,1
ZTF17aacqgck,1
ZTF18aarudxq,1
ZTF17aaatwzc,1
ZTF18aawhsgh,1
ZTF18aanlubg,1
ZTF17aaaafdf,0
ZTF17aacqimn,1
ZTF18aaxuhsj,1
ZTF18aazhjeg,1
ZTF17aaaaicn,0
ZTF17aaaajji,0
ZTF17aaaagfw,0
ZTF17aaaafhy,0
ZTF17aaaadjb,0
ZTF17aaaaaua,0
ZTF17aacrjfy,1
ZTF17aaaahsh,0
ZTF17aaaagjd,0
ZTF17aaaacnz,0
ZTF17aaaahvg,0
ZTF18aaxufhi,1
ZTF17aaaahrw,0
ZTF17aaaagja,0
ZTF18aaxqopg,1
ZTF17aaaajbq,0
ZTF17aaaaado,0
ZTF18aawmeiw,1
ZTF17aacrjga,1
ZTF17aaaagxb,0
ZTF18aavypli,1
ZTF18aaztkkv,1
ZTF18abacbrv,1
ZTF18aazcsxu,1
ZTF18aacoqxu,1
ZTF17aaaagcu,0
ZTF18aazcoob,1
ZTF17aacrdgv,1
ZTF17aaaaaqs,0
ZTF18aavrjih,1
ZTF17aaaadvl,0
ZTF17aaaagzd,0
ZTF18aatakbf,1
ZTF17aaaafvy,0
ZTF18aamkwkq,1
ZTF18aaziwjw,1
ZTF18aaxrlzg,1
ZTF17aacqfhl,1
ZTF17aaaaedj,0
ZTF17aaaacjo,0
ZTF17aaaziim,1
ZTF17aaaahsr,0
ZTF17aaaadie,0
ZTF17aaaabhs,0
ZTF18aawqnqp,1
ZTF18aazcuno,1
ZTF17aaaagoo,0
ZTF17aaaahln,0
ZTF17aaaaiht,0
ZTF18aaiykts,1
ZTF17aacqiky,1
ZTF17aaaahvq,0
ZTF17aaaajqr,0
ZTF17aaaaide,0
ZTF17aaaajgi,0
ZTF18aajgstb,1
ZTF17aacsdzk,1
ZTF17aacqfid,1
ZTF17aacseis,1
ZTF18aalbtom,1
ZTF17aaaxxhv,1
ZTF17aacrism,1
ZTF18aauzsdx,1
ZTF17aaaajia,0
ZTF17aaaahjh,0
ZTF17aaaadmx,0
ZTF17aaaaaow,0
ZTF17aaaajjx,0
ZTF17aaaajpm,0
ZTF17aacqqqf,1
ZTF18aaohwas,1
ZTF17aaaafko,0
ZTF17aaaafml,0
ZTF17aaaahhh,0
ZTF17aabduam,1
ZTF18aaizesz,1
ZTF17aaaahxf,0
ZTF17aaaaezh,0
ZTF17aaclogk,1
ZTF17aaaaghm,0
ZTF18aawbhdn,1
ZTF17aaaxmnr,1
ZTF17aaaadvm,0
ZTF17aaaahen,0
ZTF18aazdiki,1
ZTF18aaydcft,1
ZTF17aaaagyd,0
ZTF17aaaabam,0
ZTF17aaaajjs,0
ZTF18aaxsgmg,1
ZTF18aaxmjrf,1
ZTF17aaaaasl,0
ZTF17aaaaanx,0
ZTF17aaaajqg,0
ZTF18aawisdd,1
ZTF17aaaagwn,0
ZTF18abaefpr,1
ZTF17aaaajow,0
ZTF17aaaajor,0
ZTF18aaqnrum,1
ZTF18aaxuzjl,1
ZTF17aaaaeft,0
ZTF18aapgfpn,1
ZTF17aaaaaol,0
ZTF18aavuvfb,1
ZTF17aaaagat,0
ZTF17aaaahjf,0
ZTF17aaaajqx,0
ZTF17aaaabls,0
ZTF18aawiulg,1
ZTF18aayhnkn,1
ZTF18aavniyw,1
ZTF17aaaaito,0
ZTF17aacrkma,1
ZTF17aaaaffh,0
ZTF17aaaakaz,0
ZTF17aaaajna,0
ZTF17aaaahdd,0
ZTF18aaqexpa,1
ZTF17aacqrjf,1
ZTF17aaaaadw,0
ZTF17aaaahsw,0
ZTF17aaaaedz,0
ZTF17aaaagnr,0
ZTF17aaaerlq,1
ZTF17aabigyg,1
ZTF17aaaaegm,0
ZTF17aaaahiv,0
ZTF18aaxqsvf,1
ZTF18aazauta,1
ZTF17aaaaawe,0
ZTF17aaaabez,0
ZTF17aaclnoa,1
ZTF17aacrhob,1
ZTF18aazzpou,1
ZTF17aackdem,1
ZTF18aaruphf,1
ZTF17aaaagyz,0
ZTF17aaaafxd,0
ZTF18aaxtsjr,1
ZTF18aarvmxf,1
ZTF18aazxnle,1
ZTF17aaaagwi,0
ZTF17aaaaawc,0
ZTF17aacrieb,1
ZTF17aaaahih,0
ZTF17aaaaaoh,0
ZTF17aaaahhi,0
ZTF17aaaabpd,0
ZTF17aaaahdk,0
ZTF18aazclas,1
ZTF17aaaaeey,0
ZTF17aaauftj,1
ZTF17aaaaaas,0
ZTF17aabyrpz,1
ZTF17aaaajfd,0
ZTF18aakycpv,1
ZTF17aaaajqy,0
ZTF17aacokvt,1
ZTF18aaccmnh,1
ZTF17aaaafdq,0
ZTF17aaaajfp,0
ZTF18aazfjtb,1
ZTF17aaaaaxt,0
ZTF17aabcues,1
ZTF17aacrjgx,1
ZTF17aaazmqc,1
ZTF17aacrrdv,1
ZTF17aaaahgc,0
ZTF17aaaadip,0
ZTF17aaaaisn,0
ZTF18aapzruy,1
ZTF17aaaajtw,0
ZTF18aaxypml,1
ZTF17aabepbv,1
ZTF18aazyuyw,1
ZTF17aabldfy,1
ZTF17aaaafhd,0
ZTF17aaaadsi,0
ZTF17aacritt,1
ZTF17aaaafnd,0
ZTF17aaaajpy,0
ZTF17aacrjgr,1
ZTF18aayqgmm,1
ZTF17aaaajwv,0
ZTF17aaaacub,0
ZTF17aaaaird,0
ZTF17aaaaaqi,0
ZTF17aabbndx,1
ZTF18aaykuzt,1
ZTF18abacqpr,1
ZTF17aaaahfm,0
ZTF17aaaafln,0
ZTF17aaaaify,0
ZTF17aacpreq,1
ZTF18aarlndo,1
ZTF17aaaajro,0
ZTF17aaaafcu,0
ZTF17aaaaasw,0
ZTF17aaaakab,0
ZTF18aaxmjit,1
ZTF17aaaaarx,0
ZTF17aaaaasx,0
ZTF17aaaairf,0
ZTF18aaqjjco,1
ZTF17aabwlpy,1
ZTF18aaxvsip,1
ZTF18aarqjgu,1
ZTF17aaaaior,0
ZTF17aacqjjk,1
ZTF17aaaahik,0
ZTF17aaaajox,0
ZTF17aaaaing,0
ZTF17aacadsi,1
ZTF18aaaaorq,1
ZTF17aaasllo,1
ZTF17aaaafmt,0
ZTF17aaaaace,0
ZTF18aamxkpm,1
ZTF17aabbmhk,1
ZTF18aaszvmg,1
ZTF17aaaahqh,0
ZTF17aaaaaud,0
ZTF17aaaaeji,0
ZTF17aaaafez,0
ZTF17aaaaacp,0
ZTF17aaaajci,0
ZTF17aaaaghe,0
ZTF17aaaaaur,0
ZTF18aaxudrt,1
ZTF17aaaachu,0
ZTF17aacrhnq,1
ZTF17aaaajkj,0
ZTF17aacqjjf,1
ZTF18aawfprp,1
ZTF18aamsrqv,1
ZTF17aaaaieh,0
ZTF17aaaafip,0
ZTF17aaaabkt,0
ZTF17aaaadgq,0
ZTF18aazbkns,1
ZTF17aabixhf,1
ZTF18aazcier,1
ZTF17aabxlyx,1
ZTF17aaakpyo,1
ZTF17aacspdu,1
ZTF17aaaafam,0
ZTF18aavccnn,1
ZTF17aacadsj,1
ZTF17aaaajco,0
ZTF17aaaagob,0
ZTF18aawxvol,1
ZTF17aaaahjs,0
ZTF17aaaacpr,0
ZTF17aaaajum,0
ZTF17aaaaejb,0
ZTF17aaaaanq,0
ZTF17aaaailn,0
ZTF17aaaadvy,0
ZTF17aacqtbz,1
ZTF17aaaafbw,0
ZTF17aaaafct,0
ZTF17aaaafix,0
ZTF18aaxqwtg,1
ZTF17aaaafcc,0
ZTF17aaaaikk,0
ZTF17aaaaacq,0
ZTF17aaaajpj,0
ZTF18aayiucl,1
ZTF17aaaaapw,0
ZTF18aamvbnw,1
ZTF17aaaaeys,0
ZTF17aaaailw,0
ZTF18aaxdolg,1
ZTF17aabctuw,1
ZTF17aacrrda,1
ZTF17aacqqrs,1
ZTF17aaaagze,0
ZTF17aacsein,1
ZTF17aaaafzt,0
ZTF17aaaahmc,0
ZTF17aaaainf,0
ZTF18aamnepi,1
ZTF17aaaajfh,0
ZTF17aabicqy,1
ZTF17aaatuib,1
ZTF18aaygrst,1
ZTF17aaaaion,0
ZTF17aaaafjo,0
ZTF17aaaahbx,0
ZTF17aaaakao,0
ZTF18aayhebk,1
ZTF17aaaufwm,1
ZTF18aagterh,1
ZTF17aaaahth,0
ZTF17aacjvku,1
ZTF18aawcura,1
ZTF17aacrazx,1
ZTF18aaidjvu,1
ZTF17aaaahqx,0
ZTF17aaaafar,0
ZTF18aajibvf,1
ZTF17aaaajxx,0
ZTF17aaaaakr,0
ZTF17aaaahhu,0
ZTF17aaaajjw,0
ZTF17aabmovb,1
ZTF17aabpkcv,1
ZTF17aabicos,1
ZTF17aabxcjn,1
ZTF17aacqilx,1
ZTF18aatmlsy,1
ZTF17aacrkhp,1
ZTF17aaaacru,0
ZTF17aaaajii,0
ZTF18aawhkhi,1
ZTF17aaaagvx,0
ZTF18aawmxvg,1
ZTF18aatfujv,1
ZTF17aabcomo,1
ZTF17aacrzke,1
ZTF17aaaajhr,0
ZTF17aaaacdl,0
ZTF17aabikuw,1
ZTF18aazciuk,1
ZTF17aaaafkg,0
ZTF17aabigye,1
ZTF17aaaafxy,0
ZTF17aaaajfe,0
ZTF18aajurwl,1
ZTF17aaazgsj,1
ZTF17aacqhfh,1
ZTF17aaaaaqk,0
ZTF17aaccpam,1
ZTF18aahhwrl,1
ZTF18aathpmi,1
ZTF17aaaqkct,1
ZTF17aaaabhy,0
ZTF17aaaaegu,0
ZTF17aaaaeab,0
ZTF17aacqhdd,1
ZTF17aaaagoy,0
ZTF17aaaagbs,0
ZTF18aaxuzql,1
ZTF18aanmaam,1
ZTF17aaaajfw,0
ZTF17aaaacoy,0
ZTF17aaaadph,0
ZTF17aacqfhn,1
ZTF17aaaaavg,0
ZTF18aalxmmk,1
ZTF17aaaajpa,0
ZTF17aaaajwo,0
ZTF18aaynqky,1
ZTF17aaagqzz,1
ZTF17aaaahug,0
ZTF17aacrjgv,1
ZTF17aaaaijc,0
ZTF17aaaajhf,0
ZTF17aacrjhq,1
ZTF17aaaadxt,0
ZTF17aaaaath,0
ZTF17aacqayl,1
ZTF17aaaahuc,0
ZTF17aaaajfr,0
ZTF18aaxttvj,1
ZTF17aaaagfj,0
ZTF17aaaahsi,0
ZTF17aaaabsq,0
ZTF17aaaajku,0
ZTF17aaaaigf,0
ZTF17aaaaavh,0
ZTF17aaaabte,0
ZTF17aaaagzt,0
ZTF17aacadsb,1
ZTF17aaaaheg,0
ZTF17aaaagum,0
ZTF17aacqhzp,1
ZTF17aacrisd,1
ZTF18aaiijbb,1
ZTF17aaaajtz,0
ZTF17aaaafdo,0
ZTF17aaaahux,0
ZTF17aaaaivb,0
ZTF17aaaajts,0
ZTF18aalulvt,1
ZTF17aaaajgn,0
ZTF17aaccoll,1
ZTF17aabhzam,1
ZTF17aaaaayb,0
